Software_Category,Software_CategoryLabel,num_software
http://www.wikidata.org/entity/Q341,free software,7237
http://www.wikidata.org/entity/Q29642950,Python library,5609
http://www.wikidata.org/entity/Q783866,JavaScript library,1551
http://www.wikidata.org/entity/Q166142,application,1315
http://www.wikidata.org/entity/Q9135,operating system,1083
http://www.wikidata.org/entity/Q620615,mobile app,833
http://www.wikidata.org/entity/Q188860,software library,806
http://www.wikidata.org/entity/Q131093,content management system,300
http://www.wikidata.org/entity/Q312466,utility software,290
http://www.wikidata.org/entity/Q131212,text editor,255
http://www.wikidata.org/entity/Q193564,game engine,243
http://www.wikidata.org/entity/Q271680,software framework,230
http://www.wikidata.org/entity/Q13741,integrated development environment,199
http://www.wikidata.org/entity/Q6368,web browser,170
http://www.wikidata.org/entity/Q2462003,instant messaging client,164
http://www.wikidata.org/entity/Q2351962,raster graphics editor,147
http://www.wikidata.org/entity/Q1461523,console application,133
http://www.wikidata.org/entity/Q54277,word processor,117
http://www.wikidata.org/entity/Q1373429,video editing software,114
http://www.wikidata.org/entity/Q1254596,software as a service,108
http://www.wikidata.org/entity/Q202871,emulator,107
http://www.wikidata.org/entity/Q176165,database management system,104
http://www.wikidata.org/entity/Q47506,compiler,100
http://www.wikidata.org/entity/Q21127166,Java software library,98
http://www.wikidata.org/entity/Q15548076,computer-aided design software,92
http://www.wikidata.org/entity/Q93249,antivirus software,91
http://www.wikidata.org/entity/Q1193246,widget toolkit,84
http://www.wikidata.org/entity/Q1077784,programming tool,83
http://www.wikidata.org/entity/Q485,computer virus,82
http://www.wikidata.org/entity/Q570871,email client,79
http://www.wikidata.org/entity/Q210337,media player software,72
http://www.wikidata.org/entity/Q1074158,educational software,71
http://www.wikidata.org/entity/Q1371279,server software,71
http://www.wikidata.org/entity/Q868410,graphics software,68
http://www.wikidata.org/entity/Q860676,image viewer,64
http://www.wikidata.org/entity/Q229371,3D computer graphics software,63
http://www.wikidata.org/entity/Q1155404,vector graphics editor,63
