Software_Category,sc_parent,Software_CategoryLabel,sc_parentLabel,num_software
http://www.wikidata.org/entity/Q341,http://www.wikidata.org/entity/Q7397,free software,software,7240
http://www.wikidata.org/entity/Q341,http://www.wikidata.org/entity/Q14075,free software,free content,7240
http://www.wikidata.org/entity/Q341,http://www.wikidata.org/entity/Q5500964,free software,freely redistributable software,7240
http://www.wikidata.org/entity/Q341,http://www.wikidata.org/entity/Q56273712,free software,source-available software,7240
http://www.wikidata.org/entity/Q485,http://www.wikidata.org/entity/Q14001,computer virus,malware,83
http://www.wikidata.org/entity/Q485,http://www.wikidata.org/entity/Q4346576,computer virus,digital organism,83
http://www.wikidata.org/entity/Q2164499,http://www.wikidata.org/entity/Q7397,optical disc authoring software,software,28
http://www.wikidata.org/entity/Q2164499,http://www.wikidata.org/entity/Q312466,optical disc authoring software,utility software,28
http://www.wikidata.org/entity/Q2996416,http://www.wikidata.org/entity/Q7397,file converter,software,8
http://www.wikidata.org/entity/Q3125508,http://www.wikidata.org/entity/Q7397,hacking tool,software,30
http://www.wikidata.org/entity/Q3257918,http://www.wikidata.org/entity/Q7397,educational content editing software,software,0
http://www.wikidata.org/entity/Q4811587,http://www.wikidata.org/entity/Q7397,astrology software,software,1
http://www.wikidata.org/entity/Q5249204,http://www.wikidata.org/entity/Q7397,Decision-making software,software,2
http://www.wikidata.org/entity/Q6543035,http://www.wikidata.org/entity/Q7397,License manager,software,2
http://www.wikidata.org/entity/Q14644,http://www.wikidata.org/entity/Q14001,spyware,malware,10
http://www.wikidata.org/entity/Q14645,http://www.wikidata.org/entity/Q14001,rootkit,malware,21
http://www.wikidata.org/entity/Q14645,http://www.wikidata.org/entity/Q676202,rootkit,system software,21
http://www.wikidata.org/entity/Q6368,http://www.wikidata.org/entity/Q166142,web browser,application,170
http://www.wikidata.org/entity/Q6368,http://www.wikidata.org/entity/Q241317,web browser,computing platform,170
http://www.wikidata.org/entity/Q6368,http://www.wikidata.org/entity/Q2979024,web browser,HTTP client,170
http://www.wikidata.org/entity/Q6368,http://www.wikidata.org/entity/Q104574429,web browser,browser,170
http://www.wikidata.org/entity/Q7247856,http://www.wikidata.org/entity/Q7397,productivity software,software,50
http://www.wikidata.org/entity/Q7311809,http://www.wikidata.org/entity/Q7397,reminder software,software,0
http://www.wikidata.org/entity/Q7314108,http://www.wikidata.org/entity/Q7397,report generator,software,7
http://www.wikidata.org/entity/Q10413423,http://www.wikidata.org/entity/Q7397,anti-cheat,software,0
http://www.wikidata.org/entity/Q12014419,http://www.wikidata.org/entity/Q7397,peer-to-peer software,software,23
http://www.wikidata.org/entity/Q13515741,http://www.wikidata.org/entity/Q7397,content-control software,software,8
http://www.wikidata.org/entity/Q18922759,http://www.wikidata.org/entity/Q7397,messaging app,software,5
http://www.wikidata.org/entity/Q21129801,http://www.wikidata.org/entity/Q7397,natural language processing toolkit,software,14
http://www.wikidata.org/entity/Q21129801,http://www.wikidata.org/entity/Q188860,natural language processing toolkit,software library,14
http://www.wikidata.org/entity/Q3257916,http://www.wikidata.org/entity/Q166142,animation software,application,4
http://www.wikidata.org/entity/Q3552754,http://www.wikidata.org/entity/Q166142,Disk utility,application,1
http://www.wikidata.org/entity/Q3552754,http://www.wikidata.org/entity/Q312466,Disk utility,utility software,1
http://www.wikidata.org/entity/Q3635085,http://www.wikidata.org/entity/Q166142,communication software,application,14
http://www.wikidata.org/entity/Q3751111,http://www.wikidata.org/entity/Q166142,medical software,application,7
http://www.wikidata.org/entity/Q5155929,http://www.wikidata.org/entity/Q166142,note-taking software,application,25
http://www.wikidata.org/entity/Q5164835,http://www.wikidata.org/entity/Q166142,contact manager,application,3
http://www.wikidata.org/entity/Q5165883,http://www.wikidata.org/entity/Q166142,control panel,application,2
