code,annotation,start,stop,software
T1,Application_Usage:Purpose_Analysis,15525,15534,SigmaStat
T5,Application_Usage:Purpose_DataCollection,23622,23636,Image-Pro Plus
T10,Application_Usage:Purpose_DataCollection,23735,23744,Scope-Pro
T14,Application_Usage:Purpose_DataPreProcss,24827,24830,IPP
T15,Application_Usage:Purpose_Visualization,24913,24922,Photoshop
T20,Application_Usage:Purpose_DataPreProcss,25136,25139,IPP
T21,Application_Usage:Purpose_DataPreProcss,25842,25854,Office Excel
T25,Application_Usage:Purpose_Visualization,25983,25992,SigmaPlot
T29,Application_Usage:Purpose_Analysis,26915,26924,Photoshop
T30,Application_Usage:Purpose_Analysis,26968,26971,IPP
T31,Application_Usage:Purpose_Analysis,27608,27616,Satistix
T1,Application_Usage:Purpose_Analysis,14072,14077,Stata
T1,Application_Usage:Purpose_Analysis,17952,17959,Image J
T1,Application_Usage:Purpose_DataCollection,2209,2221,CrystalClear
T3,Application_Usage:Purpose_DataPreProcss,2257,2269,CrystalClear
T4,Application_Usage:Purpose_DataPreProcss,2287,2299,CrystalClear
T1,Application_Usage:Purpose_Analysis,10144,10159,SPSS statistics
T1,ProgrammingEnvironment_Usage:Purpose_Programming,230,233,C++
T2,ProgrammingEnvironment_Usage:Purpose_Programming,238,244,OpenCL
T6,ProgrammingEnvironment_Usage:Purpose_Programming,1700,1703,C++
T11,ProgrammingEnvironment_Usage:Purpose_Programming,3708,3709,R
T13,ProgrammingEnvironment_Usage:Purpose_Programming,3777,3780,C++
T18,ProgrammingEnvironment_Usage:Purpose_Programming,5986,5989,C++
T7,Application_Usage:Purpose_Analysis,12327,12336,FlexArray
T10,Application_Usage:Purpose_Analysis,12453,12479,Ingenuity Pathway Analysis
T12,Application_Usage:Purpose_Analysis,12551,12556,STATA
T1,Application_Usage:Purpose_DataCollection,4131,4138,Datacam
T2,Application_Usage:Purpose_Visualization,8976,8983,Datacam
T3,Application_Usage:Purpose_DataCollection,9586,9593,Datacam
T4,Application_Usage:Purpose_Analysis,10355,10359,SPSS
T5,Application_Usage:Purpose_Analysis,10364,10369,Excel
T1,Application_Usage:Purpose_Analysis,5321,5329,ConoMass
T1,Application_Usage:Purpose_Analysis,6938,6942,SPSS
T2,Application_Usage:Purpose_Analysis,9079,9095,Luminex 100 ™ IS
T3,Application_Usage:Purpose_Analysis,10089,10093,SPSS
T1,ProgrammingEnvironment_Usage:Purpose_DataCollection,11170,11177,Fortran
T2,Application_Usage:Purpose_DataPreProcss,12877,12880,FSL
T5,PlugIn_Usage:Purpose_DataPreProcss,13068,13073,FLIRT
T7,Application_Usage:Purpose_Modelling,13333,13336,FSL
T9,PlugIn_Usage:Purpose_DataCollection,14343,14348,FLIRT
T11,Application_Usage:Purpose_DataCollection,14376,14379,FSL
T13,Application_Usage:Purpose_Modelling,14745,14748,FSL
T14,Application_Usage:Purpose_Analysis,15537,15540,FSL
T1,Application_Usage:Purpose_Analysis,11656,11663,Minitab
T1,Application_Usage:Purpose_Analysis,8821,8825,SPSS
T1,ProgrammingEnvironment_Usage:Purpose_DataCollection,21779,21785,Matlab
T3,Application_Usage:Purpose_DataCollection,21802,21808,Cogent
T5,Application_Usage:Purpose_DataPreProcss,23394,23398,AFNI
T8,PlugIn_Usage:Purpose_Modelling,25509,25521,3dDeconvolve
